[2018-06-29 18:41:52.6] >>Log file /home/guy/github/LocalSwitch/FamilyRoomWindow/F-RoomWindow.log was created successfully

log start @rpi2, IP:192.168.2.114, OS:linux, Name:F-RoomWindow
***************************************************************
[2018-06-29 18:41:53.2] [F-RoomWindow/Up] init [press mode][GPIO in/out:20/19] 
[2018-06-29 18:41:53.3] [F-RoomWindow/Down] init [press mode][GPIO in/out:21/26] 
[2018-06-29 18:41:53.3] [F-RoomWindow/Up] GPIO initialize successfully
[2018-06-29 18:41:53.3] [F-RoomWindow/Down] GPIO initialize successfully
[2018-06-29 18:41:54.8] [F-RoomWindow/Up] [WatchDog] init
[2018-06-29 18:41:55.8] [F-RoomWindow/Down] [WatchDog] init
[2018-06-29 18:41:55.8] [F-RoomWindow/Up] [Weekly Schedule] Schedule file read successfully
[2018-06-29 18:41:57.2] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/0] [Sunday, 05:50:00]  - [Sunday, 05:50:05]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#24/3] [Wednesday, 22:59:00]  - [Wednesday, 22:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#24/4] [Thursday, 22:59:00]  - [Thursday, 22:59:59]
[2018-06-29 18:42:01.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#24/5] [Friday, 22:59:00]  - [Friday, 22:59:59]
[2018-06-29 18:42:01.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#24/6] [Saturday, 22:59:00]  - [Saturday, 22:59:59]
[2018-06-29 18:42:04.4] [F-RoomWindow/Up] [False --> True] pressed [code] [1] times
[2018-06-29 18:42:04.5] [F-RoomWindow/Up] [WatchDog] [GPIO 19] [True]
[2018-06-29 18:42:04.9] [F-RoomWindow/Up] [True --> False] pressed [code] [2] times
[2018-06-29 18:42:05.0] [F-RoomWindow/Up] [WatchDog] [GPIO 19] [False]
[2018-06-29 18:42:05.4] [F-RoomWindow/Down] [False --> True] pressed [code] [1] times
[2018-06-29 18:42:05.5] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [True]
[2018-06-29 18:42:05.9] [F-RoomWindow/Down] [True --> False] pressed [code] [2] times
[2018-06-29 18:42:06.0] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [False]
[2018-06-29 18:44:11.1] [F-RoomWindow/Up] [pressed ] [button] [3 times]
[2018-06-29 18:44:11.1] [F-RoomWindow/Up] [WatchDog] [GPIO 19] [True]
[2018-06-29 18:44:11.7] [F-RoomWindow/Up] [released] [button]
[2018-06-29 18:44:11.7] [F-RoomWindow/Up] [WatchDog] [GPIO 19] [False]
[2018-06-29 18:44:12.0] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [True]
[2018-06-29 18:44:12.0] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [True]
[2018-06-29 18:44:12.5] [F-RoomWindow/Down] [released] [button]
[2018-06-29 18:44:12.5] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [False]
[2018-06-29 18:50:00.3] [F-RoomWindow/Up] [Weekly Schedule] Start Task[13/5]: Start 2018-06-29 18:50:00, End 2018-06-29 18:50:05
[2018-06-29 18:50:00.3] [F-RoomWindow/Up] [False --> True] pressed [code] [4] times
[2018-06-29 18:50:00.4] [F-RoomWindow/Up] [WatchDog] [GPIO 19] [True]
[2018-06-29 18:50:05.2] [F-RoomWindow/Up] [True --> False] pressed [code] [5] times
[2018-06-29 18:50:05.2] [F-RoomWindow/Up] [Weekly Schedule] End Task[13/5]: Start 2018-06-29 18:50:00, End 2018-06-29 18:50:05
[2018-06-29 18:50:05.2] [F-RoomWindow/Up] [WatchDog] [GPIO 19] [False]
[2018-06-29 18:59:00.0] [F-RoomWindow/Down] [Weekly Schedule] Start Task[20/5]: Start 2018-06-29 18:59:00, End 2018-06-29 18:59:59
[2018-06-29 18:59:00.0] [F-RoomWindow/Down] [False --> True] pressed [code] [4] times
[2018-06-29 18:59:00.1] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [True]
[2018-06-29 18:59:59.2] [F-RoomWindow/Down] [True --> False] pressed [code] [5] times
[2018-06-29 18:59:59.2] [F-RoomWindow/Down] [Weekly Schedule] End Task[20/5]: Start 2018-06-29 18:59:00, End 2018-06-29 18:59:59
[2018-06-29 18:59:59.3] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [False]

log start @rpi2, IP:192.168.2.114, OS:linux, Name:F-RoomWindow
***************************************************************
[2018-06-29 19:38:53.3] [F-RoomWindow/Up] init [press mode][GPIO in/out:20/19] 
[2018-06-29 19:38:53.3] [F-RoomWindow/Down] init [press mode][GPIO in/out:21/26] 
[2018-06-29 19:38:53.4] [F-RoomWindow/Up] GPIO initialize successfully
[2018-06-29 19:38:53.4] [F-RoomWindow/Down] GPIO initialize successfully
[2018-06-29 19:38:54.8] [F-RoomWindow/Up] [WatchDog] init

log start @rpi2, IP:192.168.2.114, OS:linux, Name:F-RoomWindow
***************************************************************
[2018-06-29 19:39:41.5] [F-RoomWindow/Up] init [press mode][GPIO in/out:20/19] 
[2018-06-29 19:39:41.8] [F-RoomWindow/Down] init [press mode][GPIO in/out:21/26] 
[2018-06-29 19:39:41.9] [F-RoomWindow/Up] GPIO initialize successfully
[2018-06-29 19:39:41.9] [F-RoomWindow/Down] GPIO initialize successfully
[2018-06-29 19:39:43.3] [F-RoomWindow/Up] [WatchDog] init
[2018-06-29 19:39:44.4] [F-RoomWindow/Down] [WatchDog] init
[2018-06-29 19:39:44.4] [F-RoomWindow/Up] [Weekly Schedule] Schedule file read successfully
[2018-06-29 19:39:44.5] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/0] [Sunday, 05:50:00]  - [Sunday, 05:50:05]
[2018-06-29 19:39:44.5] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/1] [Monday, 05:50:00]  - [Monday, 05:50:05]
[2018-06-29 19:39:44.5] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/2] [Tuesday, 05:50:00]  - [Tuesday, 05:50:05]
[2018-06-29 19:39:44.6] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/3] [Wednesday, 05:50:00]  - [Wednesday, 05:50:05]
[2018-06-29 19:39:44.6] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/4] [Thursday, 05:50:00]  - [Thursday, 05:50:05]
[2018-06-29 19:39:44.6] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/5] [Friday, 05:50:00]  - [Friday, 05:50:05]
[2018-06-29 19:39:44.6] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/6] [Saturday, 05:50:00]  - [Saturday, 05:50:05]
[2018-06-29 19:39:44.6] [F-RoomWindow/Down] [Weekly Schedule] Schedule file read successfully
[2018-06-29 19:39:44.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/0] [Sunday, 23:59:00]  - [Sunday, 23:59:59]
[2018-06-29 19:39:44.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/1] [Monday, 23:59:00]  - [Monday, 23:59:59]
[2018-06-29 19:39:44.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/2] [Tuesday, 23:59:00]  - [Tuesday, 23:59:59]
[2018-06-29 19:39:44.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/3] [Wednesday, 23:59:00]  - [Wednesday, 23:59:59]
[2018-06-29 19:39:44.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/4] [Thursday, 23:59:00]  - [Thursday, 23:59:59]
[2018-06-29 19:39:44.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/5] [Friday, 23:59:00]  - [Friday, 23:59:59]
[2018-06-29 19:39:44.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/6] [Saturday, 23:59:00]  - [Saturday, 23:59:59]
[2018-06-29 19:39:44.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/0] [Sunday, 08:00:00]  - [Sunday, 08:01:00]
[2018-06-29 19:39:44.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/1] [Monday, 08:00:00]  - [Monday, 08:01:00]
[2018-06-29 19:39:44.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/2] [Tuesday, 08:00:00]  - [Tuesday, 08:01:00]
[2018-06-29 19:39:44.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/3] [Wednesday, 08:00:00]  - [Wednesday, 08:01:00]
[2018-06-29 19:39:44.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/4] [Thursday, 08:00:00]  - [Thursday, 08:01:00]
[2018-06-29 19:39:47.9] [F-RoomWindow/Up] [False --> True] pressed [code] [1] times
[2018-06-29 19:39:48.0] [F-RoomWindow/Up] [WatchDog] [GPIO 19] [True]
[2018-06-29 19:39:48.4] [F-RoomWindow/Up] [True --> False] pressed [code] [2] times
[2018-06-29 19:39:48.5] [F-RoomWindow/Up] [WatchDog] [GPIO 19] [False]
[2018-06-29 19:39:48.9] [F-RoomWindow/Down] [False --> True] pressed [code] [1] times
[2018-06-29 19:39:49.0] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [True]
[2018-06-29 19:39:49.4] [F-RoomWindow/Down] [True --> False] pressed [code] [2] times
[2018-06-29 19:39:49.5] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [False]

log start @rpi2, IP:192.168.2.114, OS:linux, Name:F-RoomWindow
***************************************************************
[2018-06-29 19:45:50.2] [F-RoomWindow/Up] init [press mode][GPIO in/out:20/19] 
[2018-06-29 19:45:50.4] [F-RoomWindow/Down] init [press mode][GPIO in/out:21/26] 
[2018-06-29 19:45:50.6] [F-RoomWindow/Up] GPIO initialize successfully
[2018-06-29 19:45:50.6] [F-RoomWindow/Up] GPIO initialize successfully
[2018-06-29 19:45:52.0] [F-RoomWindow/Up] [WatchDog] init
[2018-06-29 19:45:53.0] [F-RoomWindow/Down] [WatchDog] init
[2018-06-29 19:45:53.1] [F-RoomWindow/Up] [Weekly Schedule] Schedule file read successfully
[2018-06-29 19:45:53.3] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/0] [Sunday, 02:00:00]  - [Sunday, 02:00:05]
[2018-06-29 19:45:53.3] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/1] [Monday, 02:00:00]  - [Monday, 02:00:05]
[2018-06-29 19:45:53.3] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/2] [Tuesday, 02:00:00]  - [Tuesday, 02:00:05]
[2018-06-29 19:45:53.3] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/3] [Wednesday, 02:00:00]  - [Wednesday, 02:00:05]
[2018-06-29 19:45:53.3] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/4] [Thursday, 02:00:00]  - [Thursday, 02:00:05]
[2018-06-29 19:45:53.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/5] [Friday, 02:00:00]  - [Friday, 02:00:05]
[2018-06-29 19:45:53.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/6] [Saturday, 02:00:00]  - [Saturday, 02:00:05]
[2018-06-29 19:45:53.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/0] [Sunday, 06:30:00]  - [Sunday, 06:30:05]
[2018-06-29 19:45:53.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/1] [Monday, 06:30:00]  - [Monday, 06:30:05]
[2018-06-29 19:45:53.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/2] [Tuesday, 06:30:00]  - [Tuesday, 06:30:05]
[2018-06-29 19:45:53.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/3] [Wednesday, 06:30:00]  - [Wednesday, 06:30:05]
[2018-06-29 19:45:53.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/4] [Thursday, 06:30:00]  - [Thursday, 06:30:05]
[2018-06-29 19:45:53.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#2/0] [Friday, 08:30:00]  - [Friday, 08:30:05]
[2018-06-29 19:45:53.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#2/1] [Saturday, 08:30:00]  - [Saturday, 08:30:05]
[2018-06-29 19:45:53.5] [F-RoomWindow/Down] [Weekly Schedule] Schedule file read successfully
[2018-06-29 19:45:53.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/0] [Sunday, 01:59:00]  - [Sunday, 01:59:59]
[2018-06-29 19:45:53.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/1] [Monday, 01:59:00]  - [Monday, 01:59:59]
[2018-06-29 19:45:53.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/2] [Tuesday, 01:59:00]  - [Tuesday, 01:59:59]
[2018-06-29 19:45:53.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/3] [Wednesday, 01:59:00]  - [Wednesday, 01:59:59]
[2018-06-29 19:45:53.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/4] [Thursday, 01:59:00]  - [Thursday, 01:59:59]
[2018-06-29 19:45:53.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/5] [Friday, 01:59:00]  - [Friday, 01:59:59]
[2018-06-29 19:45:53.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/6] [Saturday, 01:59:00]  - [Saturday, 01:59:59]
[2018-06-29 19:45:53.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/0] [Sunday, 08:00:00]  - [Sunday, 08:01:00]
[2018-06-29 19:45:53.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/1] [Monday, 08:00:00]  - [Monday, 08:01:00]
[2018-06-29 19:45:53.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/2] [Tuesday, 08:00:00]  - [Tuesday, 08:01:00]
[2018-06-29 19:45:53.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/3] [Wednesday, 08:00:00]  - [Wednesday, 08:01:00]
[2018-06-29 19:45:53.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/4] [Thursday, 08:00:00]  - [Thursday, 08:01:00]
[2018-06-29 19:45:56.4] [F-RoomWindow/Up] [False --> True] pressed [code] [1] times
[2018-06-29 19:45:56.5] [F-RoomWindow/Up] [WatchDog] [GPIO 19] [True]
[2018-06-29 19:45:57.0] [F-RoomWindow/Up] [True --> False] pressed [code] [2] times
[2018-06-29 19:45:57.0] [F-RoomWindow/Up] [WatchDog] [GPIO 19] [False]
[2018-06-29 19:45:57.5] [F-RoomWindow/Down] [False --> True] pressed [code] [1] times
[2018-06-29 19:45:57.5] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [True]
[2018-06-29 19:45:58.0] [F-RoomWindow/Down] [True --> False] pressed [code] [2] times
[2018-06-29 19:45:58.0] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [False]

log start @rpi2, IP:192.168.2.114, OS:linux, Name:F-RoomWindow
***************************************************************
[2018-06-29 19:51:44.2] [F-RoomWindow/Up] init [press mode][GPIO in/out:20/19] 
[2018-06-29 19:51:44.3] [F-RoomWindow/Down] init [press mode][GPIO in/out:21/26] 
[2018-06-29 19:51:44.4] [F-RoomWindow/Up] GPIO initialize successfully
[2018-06-29 19:51:44.4] [F-RoomWindow/Up] GPIO initialize successfully
[2018-06-29 19:51:45.8] [F-RoomWindow/Up] [WatchDog] init
[2018-06-29 19:51:46.8] [F-RoomWindow/Down] [WatchDog] init
[2018-06-29 19:51:46.8] [F-RoomWindow/Up] [Weekly Schedule] Schedule file read successfully
[2018-06-29 19:51:47.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/0] [Sunday, 02:00:00]  - [Sunday, 02:00:05]
[2018-06-29 19:51:47.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/1] [Monday, 02:00:00]  - [Monday, 02:00:05]
[2018-06-29 19:51:47.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/2] [Tuesday, 02:00:00]  - [Tuesday, 02:00:05]
[2018-06-29 19:51:47.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/3] [Wednesday, 02:00:00]  - [Wednesday, 02:00:05]
[2018-06-29 19:51:47.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/4] [Thursday, 02:00:00]  - [Thursday, 02:00:05]
[2018-06-29 19:51:47.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/5] [Friday, 02:00:00]  - [Friday, 02:00:05]
[2018-06-29 19:51:47.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/6] [Saturday, 02:00:00]  - [Saturday, 02:00:05]
[2018-06-29 19:51:47.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/0] [Sunday, 06:30:00]  - [Sunday, 06:30:05]
[2018-06-29 19:51:47.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/1] [Monday, 06:30:00]  - [Monday, 06:30:05]
[2018-06-29 19:51:47.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/2] [Tuesday, 06:30:00]  - [Tuesday, 06:30:05]
[2018-06-29 19:51:47.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/3] [Wednesday, 06:30:00]  - [Wednesday, 06:30:05]
[2018-06-29 19:51:47.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/4] [Thursday, 06:30:00]  - [Thursday, 06:30:05]
[2018-06-29 19:51:47.1] [F-RoomWindow/Up] [Weekly Schedule] Task details [#2/0] [Friday, 08:30:00]  - [Friday, 08:30:05]
[2018-06-29 19:51:47.1] [F-RoomWindow/Up] [Weekly Schedule] Task details [#2/1] [Saturday, 08:30:00]  - [Saturday, 08:30:05]
[2018-06-29 19:51:47.1] [F-RoomWindow/Down] [Weekly Schedule] Schedule file read successfully
[2018-06-29 19:51:47.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/0] [Sunday, 01:59:00]  - [Sunday, 01:59:59]
[2018-06-29 19:51:47.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/1] [Monday, 01:59:00]  - [Monday, 01:59:59]
[2018-06-29 19:51:47.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/2] [Tuesday, 01:59:00]  - [Tuesday, 01:59:59]
[2018-06-29 19:51:47.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/3] [Wednesday, 01:59:00]  - [Wednesday, 01:59:59]
[2018-06-29 19:51:47.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/4] [Thursday, 01:59:00]  - [Thursday, 01:59:59]
[2018-06-29 19:51:47.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/5] [Friday, 01:59:00]  - [Friday, 01:59:59]
[2018-06-29 19:51:47.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/6] [Saturday, 01:59:00]  - [Saturday, 01:59:59]
[2018-06-29 19:51:47.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/0] [Sunday, 08:00:00]  - [Sunday, 08:01:00]
[2018-06-29 19:51:47.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/1] [Monday, 08:00:00]  - [Monday, 08:01:00]
[2018-06-29 19:51:47.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/2] [Tuesday, 08:00:00]  - [Tuesday, 08:01:00]
[2018-06-29 19:51:47.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/3] [Wednesday, 08:00:00]  - [Wednesday, 08:01:00]
[2018-06-29 19:51:47.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/4] [Thursday, 08:00:00]  - [Thursday, 08:01:00]
[2018-06-29 19:53:32.8] [F-RoomWindow/Up] [False --> True] pressed [code] [1] times
[2018-06-29 19:53:32.9] [F-RoomWindow/Up] [WatchDog] [GPIO 19] [True]
[2018-06-29 19:53:33.4] [F-RoomWindow/Up] [True --> False] pressed [code] [2] times
[2018-06-29 19:53:33.4] [F-RoomWindow/Up] [WatchDog] [GPIO 19] [False]
[2018-06-29 19:53:33.9] [F-RoomWindow/Down] [False --> True] pressed [code] [1] times
[2018-06-29 19:53:33.9] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [True]
[2018-06-29 19:53:34.4] [F-RoomWindow/Down] [True --> False] pressed [code] [2] times
[2018-06-29 19:53:34.4] [F-RoomWindow/Down] [WatchDog] [GPIO 26] [False]
